system,category,property,method,value,reference,error,relative_error_percent,source
Ca,alkaline_earth_metal,lattice_constant_A,revPBE_vdW,5.555,5.553,0.0019999999999997797,0.03601656762111105,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,rPW86_vdW2,5.493,5.553,-0.05999999999999961,-1.080497028633165,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,optPBE_vdW,5.502,5.553,-0.051000000000000156,-0.9184224743381986,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,optB88_vdW,5.45,5.553,-0.10299999999999976,-1.8548532324869416,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,optB86b_vdW,5.465,5.553,-0.08800000000000008,-1.584728975328653,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,LDA,5.328,5.553,-0.22499999999999964,-4.051863857374382,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,PBEsol,5.461,5.553,-0.09199999999999964,-1.656762110570853,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ca,alkaline_earth_metal,lattice_constant_A,PBE,5.533,5.553,-0.019999999999999574,-0.3601656762110439,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,revPBE_vdW,6.052,6.045,0.006999999999999673,0.11579818031430822,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,rPW86_vdW2,6.005,6.045,-0.040000000000000036,-0.6617038875103343,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,optPBE_vdW,5.979,6.045,-0.06599999999999984,-1.091811414392052,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,optB88_vdW,5.917,6.045,-0.1280000000000001,-2.117452440033085,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,optB86b_vdW,5.921,6.045,-0.12399999999999967,-2.051282051282044,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,LDA,5.782,6.045,-0.2629999999999999,-4.350703060380479,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,PBEsol,5.913,6.045,-0.13199999999999967,-2.1836228287841153,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Sr,alkaline_earth_metal,lattice_constant_A,PBE,6.019,6.045,-0.0259999999999998,-0.4301075268817178,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,revPBE_vdW,5.073,4.995,0.07800000000000029,1.5615615615615752,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,rPW86_vdW2,5.058,4.995,0.06299999999999972,1.2612612612612484,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,optPBE_vdW,4.987,4.995,-0.008000000000000007,-0.160160160160161,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,optB88_vdW,4.917,4.995,-0.07800000000000029,-1.5615615615615641,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,optB86b_vdW,4.906,4.995,-0.08900000000000041,-1.7817817817817883,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,LDA,4.747,4.995,-0.24800000000000022,-4.9649649649649685,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,PBEsol,4.894,4.995,-0.10099999999999998,-2.0220220220220186,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ba,alkaline_earth_metal,lattice_constant_A,PBE,5.028,4.995,0.032999999999999474,0.6606606606606391,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
