method,system,k222_lattice_energy_kJmol,k333_lattice_energy_kJmol,k444_lattice_energy_kJmol,k222_error_kJmol,k333_error_kJmol,k444_error_kJmol,delta_k333_minus_k222_kJmol,delta_k444_minus_k333_kJmol
GFN1,uracil,145.401011884851,147.547766228327,147.575477313578,9.201011884851,11.347766228327,11.375477313578,2.146754343476,0.027711085251
GFN1,urea,101.624589816974,101.875129378299,101.877878913105,-0.475410183026,-0.224870621701,-0.222121086895,0.250539561325,0.002749534806
GFN2,14-cyclohexanedione,77.636403064311,77.713071617973,77.712566898345,-12.363596935689,-12.286928382027,-12.287433101655,0.076668553662,-0.000504719628
GFN2,acetic_acid,69.144358727920,69.242831769894,69.244143860851,-4.455641272079,-4.357168230106,-4.355856139149,0.098473041973,0.001312090957
GFN2,adamantane,38.414397218724,38.416478070441,38.416494660596,-33.385602781276,-33.383521929559,-33.383505339404,0.002080851717,0.000016590155
GFN2,ammonia,29.358419569903,29.369540773728,29.369646860539,-9.341580430096,-9.330459226272,-9.330353139461,0.011121203824,0.000106086811
GFN2,anthracene,95.325277464100,102.099765800483,101.846765175672,-15.074722535900,-8.300234199517,-8.553234824328,6.774488336383,-0.253000624811
GFN2,benzene,40.481067394502,40.481009641028,40.481009640669,-14.318932605498,-14.318990358972,-14.318990359331,-0.000057753474,-0.000000000359
GFN2,co2,24.230167167996,24.230212403570,24.230213248315,-5.169832832004,-5.169787596430,-5.169786751685,0.000045235574,0.000000844745
GFN2,cyanamide,79.330290238847,79.330556402401,79.330557842096,-2.169709761153,-2.169443597599,-2.169442157904,0.000266163554,0.000001439695
GFN2,cytosine,150.819753045233,151.016983432538,151.025903221583,-12.680246954767,-12.483016567462,-12.474096778417,0.197230387305,0.008919789045
GFN2,ethylcarbamate,80.539239265914,80.710738666334,80.711634062812,-7.660760734086,-7.489261333666,-7.488365937188,0.171499400420,0.000895396478
GFN2,formamide,79.331671913055,79.991571931826,80.001823262475,-1.768328086945,-1.108428068173,-1.098176737525,0.659900018772,0.010251330649
GFN2,hexamine,64.558637064616,64.497001257557,64.496432500759,-19.541362935384,-19.602998742443,-19.603567499241,-0.061635807059,-0.000568756798
GFN2,imidazole,3.576463636625,12.614608355490,11.214103576436,-86.823536363376,-77.785391644510,-79.185896423564,9.038144718866,-1.400504779054
GFN2,naphthalene,42.734311836439,47.647673930007,47.472284066803,-38.565688163561,-33.652326069993,-33.827715933197,4.913362093568,-0.175389863204
GFN2,oxalic_acid_alpha,108.362761221209,108.385247227361,108.385559649279,9.562761221209,9.585247227361,9.585559649279,0.022486006152,0.000312421918
GFN2,oxalic_acid_beta,109.486270866986,111.055569502784,111.005774303721,12.686270866986,14.255569502784,14.205774303721,1.569298635798,-0.049795199063
GFN2,pyrazine,54.796000921870,55.128440028192,55.131712975444,-9.503999078130,-9.171559971808,-9.168287024556,0.332439106322,0.003272947252
GFN2,pyrazole,60.706683746999,60.706111504720,60.706111525688,-18.093316253000,-18.093888495280,-18.093888474312,-0.000572242280,0.000000020968
GFN2,succinic_acid,126.812754165188,126.789176326833,126.789382719440,-3.287245834811,-3.310823673167,-3.310617280560,-0.023577838356,0.000206392607
GFN2,triazine,54.133481901507,54.132071206616,54.132067685047,-8.466518098493,-8.467928793384,-8.467932314953,-0.001410694891,-0.000003521569
GFN2,trioxane,49.911467264365,49.911246300935,49.911246309479,-14.688532735635,-14.688753699065,-14.688753690521,-0.000220963430,0.000000008544
GFN2,uracil,132.005877269412,133.172539129579,133.194178316620,-4.194122730588,-3.027460870421,-3.005821683380,1.166661860167,0.021639187041
GFN2,urea,99.376567542127,100.020800131843,100.032186031947,-2.723432457872,-2.079199868157,-2.067813968053,0.644232589715,0.011385900104
