solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,sp_scf_strategy,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
AlP,zincblende,GFN2,k444,k444,quadratic,True,,5.54529858,5.448,0.09729858,0.09729858,5.00665148,4.31,0.69665148,0.69665148,-14.589958012328,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN2,k444,k555,quadratic,True,,5.54529858,5.448,0.09729858,0.09729858,5.00666474,4.31,0.69666474,0.69666474,-14.589961911222,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
MgO,rocksalt,GFN1,k444,k333,quadratic,True,,4.10004929,4.189,-0.08895071,0.08895071,5.82535518,5.19,0.63535518,0.63535518,-22.047372422248,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN1,k444,k444,quadratic,True,,4.10004929,4.189,-0.08895071,0.08895071,5.84434977,5.19,0.65434977,0.65434977,-22.052956728911,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN1,k444,k555,quadratic,True,,4.10004929,4.189,-0.08895071,0.08895071,5.84874699,5.19,0.65874699,0.65874699,-22.054249488346,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgS,rocksalt,GFN1,k444,k333,quadratic,True,,5.06495466,5.188,-0.12304534,0.12304534,3.64594743,4.04,-0.39405257,0.39405257,-18.139712001967,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN1,k444,k444,quadratic,True,,5.06495466,5.188,-0.12304534,0.12304534,3.64968147,4.04,-0.39031853,0.39031853,-18.140809789912,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN1,k444,k555,quadratic,True,,5.06495466,5.188,-0.12304534,0.12304534,3.65209878,4.04,-0.38790122,0.38790122,-18.141520465174,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN2,k444,k333,quadratic,True,,5.14825648,5.188,-0.03974352,0.03974352,4.58792750,4.04,0.54792750,0.54792750,-15.798551946668,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN2,k444,k444,quadratic,True,,5.14825648,5.188,-0.03974352,0.03974352,4.59013657,4.04,0.55013657,0.55013657,-15.799201399626,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
