solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
AlN,zincblende,GFN2,k444,k555,quadratic,True,4.14392289,4.368,-0.22407711,0.22407711,8.68858862,5.85,2.83858862,2.83858862,-16.599009007259,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlP,zincblende,GFN1,k444,k333,quadratic,True,5.56992064,5.448,0.12192064,0.12192064,6.86213496,4.31,2.55213496,2.55213496,-16.013552203930,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN1,k444,k444,quadratic,True,5.56992064,5.448,0.12192064,0.12192064,6.86933513,4.31,2.55933513,2.55933513,-16.015669014679,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN1,k444,k555,quadratic,True,5.56992064,5.448,0.12192064,0.12192064,6.87068786,4.31,2.56068786,2.56068786,-16.016066711442,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN2,k444,k333,quadratic,True,5.53348987,5.448,0.08548987,0.08548987,5.03600420,4.31,0.72600420,0.72600420,-14.598587551888,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN2,k444,k444,quadratic,True,5.53348987,5.448,0.08548987,0.08548987,5.03624537,4.31,0.72624537,0.72624537,-14.598658455991,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN2,k444,k555,quadratic,True,5.53348987,5.448,0.08548987,0.08548987,5.03625609,4.31,0.72625609,0.72625609,-14.598661608006,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
MgO,rocksalt,GFN1,k444,k333,quadratic,True,3.93359935,4.189,-0.25540065,0.25540065,5.44605236,5.19,0.25605236,0.25605236,-21.935859449918,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN1,k444,k444,quadratic,True,3.93359935,4.189,-0.25540065,0.25540065,5.47257690,5.19,0.28257690,0.28257690,-21.943657521365,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN1,k444,k555,quadratic,True,3.93359935,4.189,-0.25540065,0.25540065,5.47866078,5.19,0.28866078,0.28866078,-21.945446149703,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN2,k444,k333,quadratic,True,3.89762313,4.189,-0.29137687,0.29137687,8.88553778,5.19,3.69553778,3.69553778,-19.546626353998,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN2,k444,k444,quadratic,True,3.89762313,4.189,-0.29137687,0.29137687,8.89899216,5.19,3.70899216,3.70899216,-19.550581868853,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgO,rocksalt,GFN2,k444,k555,quadratic,False,3.89762313,4.189,-0.29137687,0.29137687,,5.19,,,,tblite_cli,4.176,4.227,4.224,4.223,3.62,5.37,5.18,5.09
MgS,rocksalt,GFN1,k444,k333,quadratic,True,4.96413014,5.188,-0.22386986,0.22386986,3.58579763,4.04,-0.45420237,0.45420237,-18.122028287310,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
